SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Quarter,AverageQuarterReturn,Year,AverageYearlyReturn,,,
1,Cosmos,ATOM,15/3/2019,7.715248872,6.432468205,6.633173881,7.504351299,6057301.366,0,2019 Q1,4.337798199,2019,3.979258184,,,
2,Cosmos,ATOM,16/3/2019,8.305615286,6.694530522,7.507990002,7.383882081,3477392.636,0,2019 Q2,5.002042859,2020,4.126263374,,,
3,Cosmos,ATOM,17/3/2019,7.357443027,4.727895228,7.357443027,4.776164148,2653565.214,0,2019 Q3,3.338166636,2021,16.29351755,,,
4,Cosmos,ATOM,18/3/2019,5.229981511,4.828242369,4.828242369,5.110341096,2567200.533,0,2019 Q4,3.542430322,,,,,
5,Cosmos,ATOM,19/3/2019,5.206171652,4.794500947,5.099977592,4.821883116,3891084.293,0,2020 Q1,3.768772016,,,,,
6,Cosmos,ATOM,20/3/2019,4.835414727,3.871130331,4.817675073,4.381394601,3934420.911,0,2020 Q2,2.615469123,,,,,
7,Cosmos,ATOM,21/3/2019,4.421520143,3.585871056,4.421520143,3.632948205,3901346.456,0,2020 Q3,4.903568278,,,,,
8,Cosmos,ATOM,22/3/2019,3.633277556,3.285578806,3.631107702,3.498546449,4680808.383,0,2020 Q4,5.196936626,,,,,
9,Cosmos,ATOM,23/3/2019,3.533851594,3.337097416,3.506196386,3.445516363,4409796.932,0,2021 Q1,14.72531148,,,,,
10,Cosmos,ATOM,24/3/2019,3.881491263,3.428649564,3.445452012,3.765243305,3928802.856,0,2021 Q2,18.10928695,,,,,
11,Cosmos,ATOM,25/3/2019,3.956022698,3.664218884,3.749194119,3.778340815,4661791.173,0,2021 Q3,12.27743927,,,,,
12,Cosmos,ATOM,26/3/2019,3.828025349,3.482586008,3.761046214,3.743902813,6463760.139,0,,,,,,,
13,Cosmos,ATOM,27/3/2019,3.828119924,3.596314829,3.746466919,3.776921172,7031766.594,0,,,,,,,
14,Cosmos,ATOM,28/3/2019,3.787516192,3.482593122,3.773730018,3.492386035,6030319.855,0,,,,,,,
15,Cosmos,ATOM,29/3/2019,3.552861661,3.40845268,3.489571143,3.539836509,4012185.12,0,,,,,,,
16,Cosmos,ATOM,30/3/2019,3.562510937,3.3794996,3.540853954,3.466585463,3370884.258,0,,,,,,,
17,Cosmos,ATOM,31/3/2019,3.628399317,3.440875917,3.466585463,3.624325914,3945618.419,0,,,,,,,
18,Cosmos,ATOM,1/4/2019,3.86930739,3.595103138,3.61007666,3.725182923,4158589.481,0,,,,,,,
19,Cosmos,ATOM,2/4/2019,3.834566599,3.610953019,3.761943096,3.787196624,5365042.91,0,,,,,,,
20,Cosmos,ATOM,3/4/2019,3.925277351,3.663749348,3.787196624,3.766951885,5083727.057,0,,,,,,,
21,Cosmos,ATOM,4/4/2019,3.831843496,3.703185322,3.762897614,3.747295395,5321012.481,0,,,,,,,
22,Cosmos,ATOM,5/4/2019,3.83987875,3.673582354,3.744651804,3.808442826,5415803.078,0,,,,,,,
23,Cosmos,ATOM,6/4/2019,4.462975895,3.770066649,3.809261912,4.447355336,4623456.354,0,,,,,,,
24,Cosmos,ATOM,7/4/2019,4.886762118,4.341927434,4.473975622,4.616360778,4191618.527,0,,,,,,,
25,Cosmos,ATOM,8/4/2019,5.847438641,4.615644124,4.634587901,5.450051946,4041529.767,0,,,,,,,
26,Cosmos,ATOM,9/4/2019,5.471555718,3.803919178,5.450051946,3.844098356,5205817,0,,,,,,,
27,Cosmos,ATOM,10/4/2019,4.183902404,3.670327298,3.802624284,3.749782544,4666417.084,0,,,,,,,
28,Cosmos,ATOM,11/4/2019,3.864195123,3.483564212,3.770163264,3.509812507,5287619.357,0,,,,,,,
29,Cosmos,ATOM,12/4/2019,4.334712317,3.482812493,3.517529638,4.306536445,4766004.354,0,,,,,,,
30,Cosmos,ATOM,13/4/2019,4.468787264,4.168932906,4.304441478,4.30303665,4074111.874,0,,,,,,,
31,Cosmos,ATOM,14/4/2019,4.488017663,4.124598973,4.30303665,4.462687047,4087544.866,0,,,,,,,
32,Cosmos,ATOM,15/4/2019,4.488488476,4.285023013,4.462687047,4.349614526,4043797.754,0,,,,,,,
33,Cosmos,ATOM,16/4/2019,4.475858278,4.273778916,4.343881304,4.418631072,6687900.34,0,,,,,,,
34,Cosmos,ATOM,17/4/2019,4.443652939,4.286220136,4.360103157,4.345787724,5040510.376,0,,,,,,,
35,Cosmos,ATOM,18/4/2019,4.424222562,4.271443822,4.34493852,4.362478096,3962743.124,0,,,,,,,
36,Cosmos,ATOM,19/4/2019,4.898667976,4.296156052,4.364133982,4.876116791,5806996.876,0,,,,,,,
37,Cosmos,ATOM,20/4/2019,5.439562086,4.857436593,4.868496087,5.435583036,4130470.934,0,,,,,,,
38,Cosmos,ATOM,21/4/2019,5.476657272,4.651667866,5.40198877,5.215819176,4423092.451,0,,,,,,,
39,Cosmos,ATOM,22/4/2019,6.94810038,4.242541684,5.170827157,4.383468677,14693545.43,0,,,,,,,
40,Cosmos,ATOM,23/4/2019,5.313592564,4.114495405,4.383468677,4.122130883,69288592.62,0,,,,,,,
41,Cosmos,ATOM,24/4/2019,4.14608214,3.096780063,4.122130883,3.636692739,51989409.86,0,,,,,,,
42,Cosmos,ATOM,25/4/2019,3.778509634,3.227088639,3.686125119,3.304497828,38575975.2,0,,,,,,,
43,Cosmos,ATOM,26/4/2019,3.773335669,3.193769037,3.304625741,3.633435242,36448157.57,0,,,,,,,
44,Cosmos,ATOM,27/4/2019,3.670702069,3.394357601,3.640850533,3.434101889,24145209.77,0,,,,,,,
