SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Quarter,AverageQuarterReturn,Year,AverageYearlyReturn
1,Chainlink,LINK,21/9/2017,0.207892001,0.155292004,0.189132005,0.169679999,2126270,59388000,2017 Q3,0.219693099,2017,0.288631167
2,Chainlink,LINK,22/9/2017,0.181675002,0.139869004,0.169826001,0.150502995,1423220,52676050,2017 Q4,0.296124435,2018,0.409599559
3,Chainlink,LINK,23/9/2017,0.157440007,0.126296997,0.149562001,0.131128997,1186670,45895150,2018 Q1,0.638845414,2019,1.536396212
4,Chainlink,LINK,24/9/2017,0.190249994,0.130274996,0.131109998,0.170277998,1025740,59597300,2018 Q2,0.370243592,2020,7.428177752
5,Chainlink,LINK,25/9/2017,0.182637006,0.158580005,0.170635998,0.182198003,1021370,63769300,2018 Q3,0.274597055,2021,28.22965251
6,Chainlink,LINK,26/9/2017,0.223161995,0.182038993,0.182038993,0.194958001,1319050,68235300,2018 Q4,0.359267999,,
7,Chainlink,LINK,27/9/2017,0.206099004,0.194252998,0.194737002,0.194585994,1097010,68105100,2019 Q1,0.449452784,,
8,Chainlink,LINK,28/9/2017,0.283820003,0.191310003,0.193377003,0.243794993,8113680,85328250,2019 Q2,1.027970098,,
9,Chainlink,LINK,29/9/2017,0.334930986,0.214421004,0.245436996,0.30844,8896430,107954000,2019 Q3,2.275465325,,
10,Chainlink,LINK,30/9/2017,0.472557992,0.300089002,0.31249699,0.451364011,23440700,157977400,2019 Q4,2.363541066,,
11,Chainlink,LINK,1/10/2017,0.451884001,0.382034004,0.451546997,0.436646998,10005100,152826450,2020 Q1,2.995394764,,
12,Chainlink,LINK,2/10/2017,0.440263987,0.356766999,0.437667012,0.356766999,7101340,124868450,2020 Q2,3.822088806,,
13,Chainlink,LINK,3/10/2017,0.367253989,0.295816988,0.367253989,0.34553501,8211990,120937250,2020 Q3,10.76816694,,
14,Chainlink,LINK,4/10/2017,0.398694992,0.336883008,0.343185991,0.39736101,7604930,139076350,2020 Q4,12.03968145,,
15,Chainlink,LINK,5/10/2017,0.417905986,0.378042996,0.397029996,0.40653801,6291110,142288300,2021 Q1,25.21906596,,
16,Chainlink,LINK,6/10/2017,0.485049993,0.404341996,0.406318992,0.47576499,12167500,166517750,2021 Q2,31.82877492,,
17,Chainlink,LINK,7/10/2017,0.476170987,0.423777014,0.472245991,0.463656992,7408570,162279950,2021 Q3,18.80176078,,
18,Chainlink,LINK,8/10/2017,0.473417014,0.358078986,0.462485999,0.397136986,7203350,138997950,,,,
19,Chainlink,LINK,9/10/2017,0.439559996,0.357163012,0.404505998,0.380589008,6781680,133206150,,,,
20,Chainlink,LINK,10/10/2017,0.43305999,0.360251009,0.380398989,0.407469004,7138890,142614150,,,,
21,Chainlink,LINK,11/10/2017,0.45411101,0.408787012,0.416346014,0.450462997,5477860,157662050,,,,
22,Chainlink,LINK,12/10/2017,0.47576499,0.423020989,0.452885985,0.444011003,8959280,155403850,,,,
23,Chainlink,LINK,13/10/2017,0.47378999,0.414081991,0.441635996,0.434603006,7521630,152111050,,,,
24,Chainlink,LINK,14/10/2017,0.45936799,0.389205992,0.434848011,0.391860008,4219350,137151000,,,,
25,Chainlink,LINK,15/10/2017,0.423696011,0.370719999,0.391133994,0.413516015,5135330,144730600,,,,
26,Chainlink,LINK,16/10/2017,0.527722001,0.389497995,0.415524989,0.423806995,12123000,148332450,,,,
27,Chainlink,LINK,17/10/2017,0.42238301,0.359183013,0.42238301,0.400848001,6321060,140296800,,,,
28,Chainlink,LINK,18/10/2017,0.402731001,0.325789988,0.402731001,0.366228998,5336930,128180150,,,,
29,Chainlink,LINK,19/10/2017,0.377265006,0.293920994,0.367808014,0.300000012,5812480,105000000,,,,
30,Chainlink,LINK,20/10/2017,0.323951989,0.21627,0.298907995,0.223874003,7715660,78355900,,,,
31,Chainlink,LINK,21/10/2017,0.266299009,0.203226998,0.223434001,0.252680987,5154740,88438350,,,,
32,Chainlink,LINK,22/10/2017,0.285979003,0.249825999,0.258186013,0.264694989,4038780,92643250,,,,
33,Chainlink,LINK,23/10/2017,0.27681601,0.228412002,0.263855994,0.248675004,2972470,87036250,,,,
34,Chainlink,LINK,24/10/2017,0.294806004,0.236122996,0.244764999,0.254453003,3665750,89058550,,,,
35,Chainlink,LINK,25/10/2017,0.257735997,0.235771999,0.255252987,0.254435003,2161880,89052250,,,,
36,Chainlink,LINK,26/10/2017,0.254032999,0.224187002,0.254032999,0.227041006,1681240,79464350,,,,
37,Chainlink,LINK,27/10/2017,0.235078007,0.219733998,0.227601007,0.224644005,1419580,78625400,,,,
38,Chainlink,LINK,28/10/2017,0.227004007,0.199226007,0.224610001,0.206531003,1522820,72285850,,,,
39,Chainlink,LINK,29/10/2017,0.218749002,0.182713002,0.205613002,0.198875993,2352990,69606600,,,,
40,Chainlink,LINK,30/10/2017,0.210862994,0.195897996,0.199246004,0.209849,1492410,73447150,,,,
41,Chainlink,LINK,31/10/2017,0.221311003,0.184710994,0.211456999,0.193911999,2251570,67869200,,,,
42,Chainlink,LINK,1/11/2017,0.190372005,0.155311003,0.190372005,0.157610998,3130450,55163850,,,,
43,Chainlink,LINK,2/11/2017,0.194406003,0.138433993,0.156799003,0.167427003,3643740,58599450,,,,
44,Chainlink,LINK,3/11/2017,0.188293993,0.158104002,0.161143005,0.171798006,2411460,60129300,,,,
45,Chainlink,LINK,4/11/2017,0.185698003,0.162385002,0.170295,0.177603006,1757130,62161050,,,,
46,Chainlink,LINK,5/11/2017,0.182496995,0.169624999,0.176921993,0.172059,1080670,60220650,,,,
47,Chainlink,LINK,6/11/2017,0.173470005,0.156913996,0.173370004,0.167456001,1599470,58609600,,,,
48,Chainlink,LINK,7/11/2017,0.177564994,0.162294,0.167835996,0.177539006,1267510,62138650,,,,
49,Chainlink,LINK,8/11/2017,0.258522004,0.171102002,0.177328005,0.213909,5493180,74868150,,,,
50,Chainlink,LINK,9/11/2017,0.248233005,0.195410997,0.216712996,0.223968998,3347920,78389150,,,,
51,Chainlink,LINK,10/11/2017,0.231279999,0.180160999,0.224700004,0.187601998,2125460,65660700,,,,
52,Chainlink,LINK,11/11/2017,0.197687,0.166025996,0.186398,0.179769993,2238980,62919500,,,,
53,Chainlink,LINK,12/11/2017,0.198376,0.145947993,0.179666996,0.170898005,5455200,59814300,,,,
54,Chainlink,LINK,13/11/2017,0.205014005,0.168742999,0.169117004,0.183071002,2992650,64074850,,,,
55,Chainlink,LINK,14/11/2017,0.199967995,0.170399994,0.184815004,0.188114002,2203410,65839900,,,,
56,Chainlink,LINK,15/11/2017,0.193513006,0.176029995,0.187612996,0.186138004,1689780,65148300,,,,
57,Chainlink,LINK,16/11/2017,0.188444003,0.164531007,0.187481999,0.169761002,1766160,59416350,,,,
58,Chainlink,LINK,17/11/2017,0.171535,0.152476996,0.169455007,0.159649,2547360,55877150,,,,
59,Chainlink,LINK,18/11/2017,0.177911997,0.150702,0.155009001,0.170872003,1948470,59805200,,,,
60,Chainlink,LINK,19/11/2017,0.173812002,0.157416001,0.170798004,0.162354007,1646620,56823900,,,,
61,Chainlink,LINK,20/11/2017,0.166282997,0.156672001,0.162366003,0.162183002,1916880,56764050,,,,
62,Chainlink,LINK,21/11/2017,0.168005005,0.153796002,0.163476005,0.154972002,1952710,54240200,,,,
63,Chainlink,LINK,22/11/2017,0.174568996,0.150317997,0.156979993,0.168514997,2709660,58980250,,,,
64,Chainlink,LINK,23/11/2017,0.190338001,0.157085001,0.169654995,0.164383993,3325760,57534400,,,,
65,Chainlink,LINK,24/11/2017,0.193379,0.155927002,0.165316999,0.192920998,3763260,67522350,,,,
